epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0955,1.34652,1.90844,1.85166,0,0,0,0,5.52222,73.7368,20.3501,0.0706383,0.00326241,0.00326241
2,55.5906,1.38215,1.52165,1.86225,0.01048,0.27395,0.00682,0.00222,3.42828,inf,13.2742,0.0406252,0.00658269,0.00658269
3,82.623,1.3608,1.46611,1.83284,0.00086,0.08655,0.00044,0.00011,3.9359,145.859,5.87606,0.010599,0.00988976,0.00988976
4,109.718,1.34014,1.4773,1.81552,0.12386,0.56312,0.11992,0.05575,2.22762,108.946,3.88073,0.0099406,0.0099406,0.0099406
5,136.36,1.30258,1.38716,1.79484,0.11425,0.50588,0.13184,0.03302,2.63584,2.99681,4.24499,0.0099208,0.0099208,0.0099208
6,163.337,1.33386,1.39069,1.81548,0.44066,0.50756,0.37139,0.1728,2.15865,1.68667,3.77232,0.009901,0.009901,0.009901
7,190.194,1.279,1.36378,1.75811,0.22547,0.39328,0.17683,0.07681,2.62166,2.40556,4.45891,0.0098812,0.0098812,0.0098812
8,216.985,1.25591,1.36858,1.74245,0.28464,0.78235,0.35101,0.14212,2.04688,1.46714,3.20039,0.0098614,0.0098614,0.0098614
9,243.731,1.28916,1.35419,1.75889,0.27865,0.57983,0.25384,0.13412,2.10493,1.51177,3.97524,0.0098416,0.0098416,0.0098416
10,270.486,1.24246,1.31698,1.7323,0.28866,0.51849,0.40826,0.16327,1.8914,1.50205,3.19671,0.0098218,0.0098218,0.0098218
11,297.224,1.21471,1.32287,1.71964,0.34888,0.72605,0.31943,0.15313,2.07346,1.29116,3.9714,0.009802,0.009802,0.009802
12,323.898,1.22944,1.31058,1.72729,0.33006,0.72472,0.33117,0.17667,2.06373,1.25251,3.56222,0.0097822,0.0097822,0.0097822
13,350.649,1.20394,1.29294,1.71084,0.36958,0.75462,0.32377,0.17206,1.98755,1.12542,3.50744,0.0097624,0.0097624,0.0097624
14,377.361,1.2039,1.29658,1.7077,0.37368,0.76054,0.38662,0.18385,1.97981,1.27134,3.17537,0.0097426,0.0097426,0.0097426
15,403.029,1.21115,1.29245,1.70825,0.28909,0.63782,0.33155,0.15831,2.11749,1.74328,3.42996,0.0097228,0.0097228,0.0097228
16,428.848,1.17955,1.24229,1.68418,0.37858,0.79748,0.38491,0.17293,1.93743,1.64626,3.172,0.009703,0.009703,0.009703
17,455.603,1.19612,1.28137,1.69574,0.36745,0.75462,0.3376,0.18885,1.90617,1.16986,3.07052,0.0096832,0.0096832,0.0096832
18,482.688,1.18384,1.26726,1.6787,0.37589,0.76891,0.38459,0.19813,1.86622,1.23408,3.10908,0.0096634,0.0096634,0.0096634
19,509.947,1.19197,1.276,1.6882,0.39895,0.81261,0.37211,0.17641,1.80645,1.08165,3.13514,0.0096436,0.0096436,0.0096436
20,536.879,1.17288,1.27145,1.66231,0.388,0.78319,0.42939,0.23011,1.89356,1.11543,3.26603,0.0096238,0.0096238,0.0096238
21,564.319,1.1478,1.24834,1.6444,0.37048,0.76891,0.39201,0.20579,1.84808,1.26667,3.13234,0.009604,0.009604,0.009604
22,591.394,1.14898,1.25861,1.66055,0.41587,0.84118,0.50517,0.23559,1.82177,1.22796,2.85293,0.0095842,0.0095842,0.0095842
23,618.666,1.15949,1.25729,1.65535,0.41833,0.84118,0.41938,0.20012,1.81147,1.7398,2.90091,0.0095644,0.0095644,0.0095644
24,645.939,1.13554,1.24976,1.64149,0.40124,0.65126,0.43791,0.24995,1.82798,1.10511,3.05873,0.0095446,0.0095446,0.0095446
25,673.524,1.17908,1.27579,1.667,0.40626,0.76859,0.45452,0.21969,1.87582,1.1538,3.09113,0.0095248,0.0095248,0.0095248
26,700.945,1.1588,1.25005,1.65856,0.38968,0.79486,0.43783,0.21789,1.77745,1.23356,2.89074,0.009505,0.009505,0.009505
27,728.472,1.12052,1.22648,1.63203,0.38759,0.7395,0.41971,0.23775,1.85623,1.13536,3.0113,0.0094852,0.0094852,0.0094852
28,755.853,1.13174,1.22933,1.64751,0.39048,0.72521,0.34937,0.1829,1.77085,1.06561,2.99723,0.0094654,0.0094654,0.0094654
29,783.154,1.1329,1.23804,1.63911,0.40054,0.78999,0.40071,0.20126,1.83629,1.19859,2.9489,0.0094456,0.0094456,0.0094456
30,810.43,1.11009,1.24,1.62446,0.34106,0.62269,0.3742,0.19871,1.8913,1.24359,3.28823,0.0094258,0.0094258,0.0094258
31,837.681,1.13587,1.22143,1.63405,0.41017,0.75294,0.43709,0.19832,1.79771,1.14293,2.93811,0.009406,0.009406,0.009406
32,865.021,1.12753,1.2139,1.63649,0.41692,0.63613,0.44334,0.21491,1.79346,1.19544,2.92861,0.0093862,0.0093862,0.0093862
33,892.391,1.11793,1.20724,1.63381,0.37656,0.68151,0.39723,0.21499,1.78863,1.14526,3.08272,0.0093664,0.0093664,0.0093664
34,919.694,1.14888,1.23333,1.65168,0.39167,0.88396,0.52704,0.23713,1.8233,1.24583,2.87529,0.0093466,0.0093466,0.0093466
35,947.351,1.13499,1.23242,1.62142,0.57954,0.56303,0.51285,0.25298,1.81788,1.251,2.93476,0.0093268,0.0093268,0.0093268
36,974.753,1.1363,1.22388,1.63151,0.56025,0.53445,0.48224,0.25107,1.76724,1.07335,2.95979,0.009307,0.009307,0.009307
37,1002.07,1.11508,1.19508,1.6211,0.59022,0.56438,0.58486,0.28903,1.70067,1.00627,2.99329,0.0092872,0.0092872,0.0092872
38,1029.57,1.10781,1.20869,1.62171,0.60781,0.59244,0.53344,0.26935,1.80496,1.00665,2.91594,0.0092674,0.0092674,0.0092674
39,1056.82,1.11005,1.18104,1.62607,0.47234,0.65908,0.48184,0.23895,1.73399,1.18798,2.76956,0.0092476,0.0092476,0.0092476
40,1084.34,1.09999,1.17303,1.60758,0.51218,0.60672,0.55188,0.30771,1.66746,1.24245,2.77501,0.0092278,0.0092278,0.0092278
41,1111.58,1.12084,1.17941,1.63295,0.56036,0.59366,0.51556,0.25912,1.88019,1.06863,3.02246,0.009208,0.009208,0.009208
42,1138.84,1.11583,1.19022,1.62497,0.60344,0.57591,0.53683,0.2478,1.8096,1.09285,2.93672,0.0091882,0.0091882,0.0091882
43,1166.41,1.10275,1.20042,1.6237,0.5064,0.53764,0.5057,0.26374,1.76766,1.09638,2.94644,0.0091684,0.0091684,0.0091684
44,1193.85,1.08975,1.16909,1.60757,0.46513,0.75294,0.45317,0.23104,1.6766,1.1904,2.66696,0.0091486,0.0091486,0.0091486
45,1221.56,1.10509,1.17447,1.61536,0.4746,0.66639,0.48867,0.24812,1.77106,1.08449,3.00204,0.0091288,0.0091288,0.0091288
46,1248.77,1.06822,1.1586,1.59992,0.4188,0.57731,0.45476,0.24529,1.5782,1.35972,2.64036,0.009109,0.009109,0.009109
47,1276,1.08399,1.14075,1.59393,0.68548,0.62185,0.62531,0.32883,1.6348,0.98441,2.72667,0.0090892,0.0090892,0.0090892
48,1303.51,1.08084,1.15899,1.59258,0.66544,0.57731,0.58673,0.31349,1.61653,1.28202,2.60207,0.0090694,0.0090694,0.0090694
49,1331.11,1.1088,1.1563,1.60266,0.54409,0.64678,0.50394,0.26686,1.83132,1.05111,3.09224,0.0090496,0.0090496,0.0090496
50,1359.84,1.07255,1.16153,1.60056,0.5979,0.66479,0.57485,0.31416,1.63543,1.04541,2.69005,0.0090298,0.0090298,0.0090298
51,1389.23,1.10858,1.16737,1.60563,0.60124,0.59868,0.58551,0.31004,1.7928,0.9758,2.86255,0.00901,0.00901,0.00901
52,1418.97,1.09529,1.12103,1.60754,0.52735,0.67612,0.55009,0.30702,1.70681,1.03526,2.89212,0.0089902,0.0089902,0.0089902
53,1448.01,1.09665,1.12902,1.61505,0.55181,0.7084,0.55159,0.26632,1.74386,1.24616,2.71117,0.0089704,0.0089704,0.0089704
54,1475.54,1.06842,1.14418,1.58689,0.64437,0.62556,0.68825,0.36338,1.70651,1.02889,2.72286,0.0089506,0.0089506,0.0089506
55,1502.64,1.08951,1.1424,1.60032,0.58697,0.68067,0.60215,0.30459,1.75508,0.98057,2.79196,0.0089308,0.0089308,0.0089308
56,1530.03,1.06468,1.14558,1.59311,0.58356,0.69257,0.61931,0.33942,1.7677,0.94924,2.80008,0.008911,0.008911,0.008911
57,1557.37,1.05488,1.11308,1.57541,0.47515,0.6958,0.5409,0.29121,1.83092,0.97678,3.00835,0.0088912,0.0088912,0.0088912
58,1585.17,1.06491,1.10681,1.5983,0.71992,0.5905,0.6915,0.36449,1.80854,0.93443,2.97746,0.0088714,0.0088714,0.0088714
59,1612.49,1.08735,1.15188,1.60087,0.65054,0.57731,0.57857,0.31219,1.6501,1.06019,2.69707,0.0088516,0.0088516,0.0088516
60,1639.93,1.0716,1.12761,1.58508,0.58669,0.68151,0.65771,0.36496,1.78799,1.00114,2.91174,0.0088318,0.0088318,0.0088318
61,1667.46,1.07327,1.12494,1.58641,0.61173,0.7269,0.64566,0.32699,1.74355,1.08187,2.73376,0.008812,0.008812,0.008812
62,1694.72,1.0478,1.11021,1.56912,0.51806,0.61729,0.62397,0.31315,1.54127,1.26549,2.73246,0.0087922,0.0087922,0.0087922
63,1722.09,1.05879,1.08966,1.57744,0.67153,0.53445,0.608,0.36171,1.53612,1.10272,2.6132,0.0087724,0.0087724,0.0087724
64,1749.58,1.07433,1.14328,1.5842,0.60836,0.65535,0.56438,0.33032,1.54418,1.29813,2.52867,0.0087526,0.0087526,0.0087526
65,1776.88,1.05434,1.11875,1.56604,0.57457,0.62353,0.64275,0.36201,1.70201,1.03767,2.8736,0.0087328,0.0087328,0.0087328
66,1803.98,1.08484,1.10479,1.58216,0.51434,0.6958,0.6327,0.35654,1.49197,1.25904,2.48934,0.008713,0.008713,0.008713
67,1830.89,1.07461,1.10842,1.58768,0.63497,0.68067,0.64244,0.36849,1.68162,1.07252,2.82011,0.0086932,0.0086932,0.0086932
68,1857.93,1.06979,1.12769,1.57828,0.55446,0.66639,0.61212,0.34177,1.61552,1.15231,2.71882,0.0086734,0.0086734,0.0086734
69,1885.21,1.05178,1.11938,1.56288,0.65295,0.66639,0.6109,0.3025,1.70886,1.10908,2.75196,0.0086536,0.0086536,0.0086536
70,1912.32,1.05284,1.08367,1.56607,0.66231,0.5958,0.62598,0.34675,1.76609,1.07558,2.95134,0.0086338,0.0086338,0.0086338
71,1939.59,1.06671,1.11201,1.57218,0.56185,0.7214,0.64501,0.35056,1.71535,0.96992,2.95654,0.008614,0.008614,0.008614
72,1966.82,1.06027,1.07956,1.57128,0.45847,0.71092,0.59172,0.32668,1.66649,1.08211,2.83626,0.0085942,0.0085942,0.0085942
73,1993.85,1.06763,1.11665,1.58636,0.58284,0.67444,0.64635,0.37321,1.60849,0.98976,2.83115,0.0085744,0.0085744,0.0085744
74,2022.08,1.06408,1.11485,1.57307,0.56714,0.6958,0.6086,0.32634,1.7029,0.97757,2.8644,0.0085546,0.0085546,0.0085546
75,2048.24,1.06136,1.12296,1.57661,0.55161,0.7958,0.67268,0.33953,1.53039,1.2873,2.46601,0.0085348,0.0085348,0.0085348
76,2074.81,1.05291,1.11832,1.56199,0.53432,0.76807,0.59365,0.33051,1.51895,1.19165,2.5746,0.008515,0.008515,0.008515
77,2101.38,1.03236,1.10882,1.55545,0.4524,0.6568,0.61539,0.3521,1.59516,1.36124,2.66721,0.0084952,0.0084952,0.0084952
78,2127.98,1.03299,1.08738,1.55054,0.60969,0.69706,0.65751,0.36321,1.66255,1.06447,2.70795,0.0084754,0.0084754,0.0084754
79,2154.56,1.04285,1.0763,1.57114,0.60393,0.69496,0.61549,0.37404,1.57221,1.14271,2.55779,0.0084556,0.0084556,0.0084556
80,2181.15,1.04853,1.08836,1.55465,0.60412,0.70403,0.61189,0.32914,1.55937,1.19971,2.55544,0.0084358,0.0084358,0.0084358
81,2207.69,1.05403,1.10274,1.56925,0.66628,0.70132,0.72406,0.38301,1.62185,1.11223,2.58308,0.008416,0.008416,0.008416
82,2234.37,1.05029,1.0743,1.566,0.63071,0.57899,0.66143,0.36368,1.61688,1.07457,2.71755,0.0083962,0.0083962,0.0083962
83,2260.95,1.02113,1.06173,1.55294,0.60787,0.68151,0.67303,0.37208,1.61722,1.10652,2.6733,0.0083764,0.0083764,0.0083764
84,2289.46,1.04178,1.0777,1.56299,0.49899,0.70951,0.56046,0.30756,1.52727,1.28743,2.52629,0.0083566,0.0083566,0.0083566
85,2317.59,1.04477,1.07854,1.5578,0.55553,0.63613,0.56566,0.31791,1.54844,1.20059,2.54075,0.0083368,0.0083368,0.0083368
86,2345.26,1.06473,1.07095,1.57864,0.44681,0.72605,0.59067,0.32899,1.54199,1.21018,2.55035,0.008317,0.008317,0.008317
87,2373.12,1.03418,1.08272,1.56832,0.4924,0.74034,0.65363,0.35134,1.70112,1.10619,2.85945,0.0082972,0.0082972,0.0082972
88,2400.91,1.04367,1.08106,1.55617,0.58459,0.70621,0.65323,0.36058,1.60682,1.14909,2.72744,0.0082774,0.0082774,0.0082774
89,2430.28,1.03341,1.07265,1.54647,0.6861,0.63782,0.67126,0.38149,1.51026,1.13415,2.6012,0.0082576,0.0082576,0.0082576
90,2459.86,1.05285,1.08788,1.55956,0.55833,0.68067,0.61882,0.34574,1.56599,1.07337,2.63681,0.0082378,0.0082378,0.0082378
91,2489.64,1.04342,1.06414,1.56011,0.51772,0.66555,0.62914,0.33685,1.5323,1.21159,2.55997,0.008218,0.008218,0.008218
92,2519.34,1.03606,1.07987,1.55654,0.58852,0.5439,0.62332,0.37471,1.53599,1.21448,2.58327,0.0081982,0.0081982,0.0081982
93,2548.08,1.05186,1.04725,1.56858,0.63429,0.6521,0.69266,0.38306,1.59921,1.00871,2.65044,0.0081784,0.0081784,0.0081784
94,2576.01,1.05487,1.03981,1.55897,0.62839,0.66723,0.72616,0.41241,1.54742,1.01592,2.57667,0.0081586,0.0081586,0.0081586
95,2603.9,1.02191,1.06916,1.54249,0.66996,0.68067,0.70634,0.40284,1.52829,1.03324,2.5883,0.0081388,0.0081388,0.0081388
96,2632.6,1.04336,1.09059,1.55932,0.5031,0.6459,0.67443,0.37913,1.47645,1.31557,2.46305,0.008119,0.008119,0.008119
97,2660.87,1.04202,1.07215,1.55012,0.59051,0.76422,0.70124,0.37967,1.51738,1.15741,2.43597,0.0080992,0.0080992,0.0080992
98,2689.25,1.00153,1.04513,1.52957,0.63676,0.7395,0.71921,0.41375,1.58553,1.05237,2.59558,0.0080794,0.0080794,0.0080794
99,2716.06,1.03734,1.03393,1.55858,0.59629,0.68393,0.68626,0.41854,1.49149,1.10816,2.47852,0.0080596,0.0080596,0.0080596
