R1,R2,R3,C1,L1,R1*R2,R1*R3,R1*C1,R1*L1,R2*R3,R2*C1,R2*L1,R3*C1,R3*L1,C1*L1,y
-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0.6862930035924961
-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,-1,2.0535286947425706
-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,0.6860890847462876
-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,2.0280526772761185
-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,0.43891947555467986
-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1.3267824870409732
-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,0.4406419809516348
-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1.323284545192207
-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,0.6475083639106645
-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1.9521877257076783
-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,0.6534357607826279
-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,1.9436271984146316
-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,0.4276819175776179
-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1.267525322688314
-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,0.4243938934454039
-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1.2914204284147988
1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.6609212196995883
1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,2.0004184636436477
1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,0.66381644352245
1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,2.002016482782748
1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,0.43357947994453955
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1.3048061573993268
1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0.43524436038813247
1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1.3092301099257626
1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,0.6188387905630491
1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1.8810524143865426
1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,0.6311027417456575
1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1.8687234088257922
1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,0.41820251295349725
1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1.2382281853215118
1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,0.41404022292193493
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2520390174025497
