R1,R2,R3,C1,L1,R1*R2,R1*R3,R1*C1,R1*L1,R2*R3,R2*C1,R2*L1,R3*C1,R3*L1,C1*L1,y
-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2.0222538267072154e-05
-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,-1,0.0002524063748109143
-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,0.00013902964508681558
-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,0.0008124686319382256
-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,4.8292839135221374e-06
-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,3.600101610600869e-05
-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1.1300666346689737e-05
-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,6.708502311746081e-05
-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,9.116229797897196e-06
-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,4.6302381520920025e-05
-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,0.0001159500523901502
-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,4.157882615819341e-05
-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,7.586082177973202e-06
-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,7.114914810646818e-05
-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,4.518923733093552e-06
-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,0.0005383196040727416
1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3.927962272559136e-05
1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,0.00033559668259893545
1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,7.88923009091333e-05
1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,0.00025822382042952507
1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,0.00010078425464322563
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,4.130838254783521e-05
1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1.3547540519399044e-05
1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,0.00016344510964045738
1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,0.00011040816604292538
1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,6.978845945665427e-05
1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1.3354090623267545e-05
1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,6.77351485540923e-05
1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,2.1443806373098812e-05
1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,5.141298229769979e-05
1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,9.290472164730394e-06
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0453126579912983e-06
