epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.975,1.40193,2.85697,1.92449,0.00286,0.86667,0.22404,0.04604,1.98301,3.74838,6.33395,0.0865,0.0015,0.0015
2,18.835,1.46063,2.08801,1.93472,0.00074,0.26667,0.00115,0.00034,4.15868,inf,354.418,0.0720969,0.00309693,0.00309693
3,26.584,1.58834,1.94296,2.02871,0,0,0,0,5.37261,inf,38.0601,0.0576907,0.00469069,0.00469069
4,34.34,1.4605,1.78224,1.91243,0,0,0,0,4.60348,565.921,19.1072,0.0432813,0.00628129,0.00628129
5,42.152,1.37552,1.73546,1.85836,0.66728,0.06667,0.0002,5e-05,4.4516,50.0356,14.8881,0.0288687,0.00786872,0.00786872
6,49.923,1.43346,1.74618,1.90764,0,0,0,0,5.42178,inf,13.5828,0.014453,0.00945297,0.00945297
7,57.813,1.39605,1.67364,1.86592,0.66818,0.13333,0.00078,0.0002,5.04651,77.1592,13.4733,0.0099406,0.0099406,0.0099406
8,65.694,1.43383,1.63444,1.86631,0,0,0,0,5.27517,inf,9.314,0.0099307,0.0099307,0.0099307
9,73.744,1.38759,1.62355,1.83528,0.00016,0.06667,0.00027,3e-05,4.9319,11.1348,6.90353,0.0099208,0.0099208,0.0099208
10,81.713,1.38151,1.62693,1.84033,0.01702,0.13333,0.02777,0.00986,2.5535,4.29157,4.08931,0.0099109,0.0099109,0.0099109
11,89.772,1.4344,1.61573,1.87855,0.56772,0.26667,0.18742,0.07303,2.75369,4.22831,4.21739,0.009901,0.009901,0.009901
12,97.812,1.36343,1.47676,1.81496,0.63504,0.4,0.24908,0.09858,3.05784,14.7122,4.58522,0.0098911,0.0098911,0.0098911
13,105.865,1.34324,1.44016,1.83665,0.00298,0.06667,0.00346,0.00069,3.85259,6.499,5.37452,0.0098812,0.0098812,0.0098812
14,114.114,1.3322,1.43893,1.7792,0.44011,0.13333,0.11628,0.07096,3.09492,4.25477,4.38369,0.0098713,0.0098713,0.0098713
15,122.284,1.31128,1.44409,1.76726,0.07148,0.06667,0.02916,0.0118,3.64844,6.28406,5.3697,0.0098614,0.0098614,0.0098614
16,130.751,1.30735,1.3959,1.78855,0.21965,0.33333,0.20429,0.10483,2.41599,2.63622,3.27947,0.0098515,0.0098515,0.0098515
17,138.93,1.34869,1.38288,1.78738,0.27032,0.4,0.20133,0.09861,2.4185,2.95778,3.49809,0.0098416,0.0098416,0.0098416
18,147.064,1.31925,1.38439,1.80053,0.39786,0.53333,0.34735,0.17494,1.94851,2.45615,3.11684,0.0098317,0.0098317,0.0098317
19,155.347,1.3591,1.43074,1.81304,0.60267,0.2,0.22153,0.12891,1.84689,4.22912,3.10697,0.0098218,0.0098218,0.0098218
20,163.718,1.26847,1.37706,1.731,0.54445,0.46667,0.20545,0.0772,2.48606,3.41368,3.77376,0.0098119,0.0098119,0.0098119
21,171.885,1.26154,1.299,1.73125,0.44738,0.6,0.45674,0.13653,2.24778,1.96833,3.3772,0.009802,0.009802,0.009802
22,180.043,1.26305,1.24722,1.72254,0.13993,0.53333,0.14198,0.04697,2.2045,2.84171,3.44338,0.0097921,0.0097921,0.0097921
23,188.208,1.27884,1.35146,1.75059,0.16682,0.2,0.10556,0.05143,2.3431,15.6648,3.7597,0.0097822,0.0097822,0.0097822
24,196.207,1.26476,1.2834,1.72998,0.50294,0.64709,0.58175,0.35358,1.76557,2.06048,3.03455,0.0097723,0.0097723,0.0097723
25,204.207,1.23032,1.27647,1.70153,0.76757,0.53489,0.49591,0.31859,1.84802,1.52811,3.25041,0.0097624,0.0097624,0.0097624
26,212.268,1.26175,1.23956,1.72351,0.56134,0.52879,0.54243,0.30312,1.96758,2.07086,3.22049,0.0097525,0.0097525,0.0097525
27,220.296,1.2476,1.22159,1.71799,0.58634,0.76328,0.73725,0.41373,1.80905,1.25758,2.8472,0.0097426,0.0097426,0.0097426
28,229.119,1.22731,1.20009,1.68361,0.91887,0.46667,0.64701,0.40408,1.60764,1.46593,2.67029,0.0097327,0.0097327,0.0097327
29,237.122,1.26651,1.2132,1.7509,0.69655,0.53333,0.54997,0.2744,1.93448,1.79594,3.29795,0.0097228,0.0097228,0.0097228
30,245.222,1.25827,1.16656,1.71858,0.49091,0.73333,0.69341,0.37534,1.99879,1.51902,3.0474,0.0097129,0.0097129,0.0097129
31,253.231,1.2448,1.19819,1.71472,0.61589,0.73333,0.69839,0.39915,2.00686,1.62654,3.05144,0.009703,0.009703,0.009703
32,261.227,1.22364,1.21171,1.68767,0.68295,0.67209,0.71391,0.42706,1.69884,1.35461,3.22462,0.0096931,0.0096931,0.0096931
33,269.207,1.2415,1.1959,1.74799,0.42884,0.5149,0.49453,0.27849,1.66411,2.45464,2.83682,0.0096832,0.0096832,0.0096832
