epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65326,1.36443,4.06109,1.92972,0,0,0,0,0.95273,3.55124,2.1021,0.0991,0.0001,0.0001
2,4.93051,1.39081,4.12136,1.93536,0,0,0,0,0.96776,3.55103,2.12003,0.0972994,0.000299406,0.000299406
3,7.17988,1.31183,4.11015,1.90442,0.00217,0.26667,0.0309,0.02121,1.17461,3.52385,2.53445,0.095498,0.00049802,0.00049802
4,9.25693,1.28198,3.88497,1.87034,0.0017,0.45333,0.0331,0.01437,1.60949,3.49605,3.26569,0.0936958,0.000695842,0.000695842
5,11.3907,1.48731,3.89028,2.08499,0.00175,0.4,0.00574,0.0019,2.32814,3.53674,4.02785,0.0918929,0.000892872,0.000892872
6,13.5439,1.07325,3.47131,1.65262,0.00143,0.49333,0.00367,0.00097,2.40801,3.64252,4.31506,0.0900891,0.00108911,0.00108911
7,15.9153,1.13599,3.34606,1.74545,0.00478,0.57333,0.0152,0.00449,1.84344,14.9682,7.02165,0.0882846,0.00128456,0.00128456
8,18.2795,1.16054,3.3253,1.77089,0.40004,0.02667,4e-05,1e-05,3.47272,inf,19.6615,0.0864792,0.00147921,0.00147921
9,20.6516,1.15703,3.14003,1.78813,0.26669,0.02667,0.00035,0.0001,3.78217,inf,18.3971,0.0846731,0.00167307,0.00167307
10,22.9771,1.25056,3.00499,1.71323,9e-05,0.02667,6e-05,1e-05,3.93616,inf,20.3786,0.0828661,0.00186614,0.00186614
11,25.4874,1.33765,3.10171,1.82436,0.26672,0.01333,2e-05,0,4.508,inf,21.7318,0.0810584,0.00205842,0.00205842
12,27.9346,1.54784,3.1949,1.95005,0.00025,0.02667,0.00014,9e-05,4.34133,inf,26.8309,0.0792499,0.00224991,0.00224991
13,30.7511,1.23455,3.04335,1.76937,0.00013,0.04,9e-05,1e-05,4.57912,inf,69.1063,0.0774406,0.0024406,0.0024406
14,33.6099,1.16572,2.87725,1.74413,0.00013,0.04,9e-05,1e-05,4.79982,inf,332.531,0.0756305,0.0026305,0.0026305
15,36.2107,1.23836,2.75185,1.80499,0.00013,0.04,9e-05,1e-05,5.00447,inf,565.668,0.0738196,0.00281961,0.00281961
16,38.5614,1.39336,2.82765,1.84217,0.00013,0.04,9e-05,1e-05,5.48586,inf,447.912,0.0720079,0.00300793,0.00300793
17,40.9275,1.28575,2.81136,1.85035,0.00013,0.04,9e-05,1e-05,4.29571,inf,265.683,0.0701955,0.00319546,0.00319546
18,43.3606,1.21412,2.68958,1.72672,0.00013,0.04,9e-05,1e-05,4.21341,inf,492.863,0.0683822,0.00338219,0.00338219
19,45.6801,1.19006,2.69356,1.74648,0.00013,0.04,9e-05,1e-05,4.48345,inf,1780.83,0.0665681,0.00356813,0.00356813
20,48.4451,1.30978,2.69061,1.79988,0.00013,0.04,9e-05,1e-05,3.98918,inf,1994.74,0.0647533,0.00375328,0.00375328
21,50.7744,1.23895,2.60409,1.74733,0.00013,0.04,9e-05,1e-05,4.36197,inf,2773.39,0.0629376,0.00393764,0.00393764
22,53.0297,1.34573,2.64467,1.81235,0.00013,0.04,9e-05,1e-05,4.09602,inf,1952.98,0.0611212,0.00412121,0.00412121
23,55.1622,1.29999,2.63648,1.78573,0.00013,0.04,9e-05,1e-05,4.4075,inf,1644.79,0.059304,0.00430398,0.00430398
24,57.4767,1.24452,2.56444,1.76984,4e-05,0.01333,3e-05,0,4.58486,inf,1125.53,0.057486,0.00448596,0.00448596
25,59.626,1.20437,2.44644,1.72415,4e-05,0.01333,3e-05,0,4.73125,inf,777.001,0.0556672,0.00466715,0.00466715
