epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9152,1.66352,3.36277,2.09041,0,0,0,0,4.73174,inf,750.723,0.0707317,0.00325203,0.00325203
2,48.1362,1.75487,2.88337,2.13892,0,0,0,0,6.16516,318.079,25.2296,0.0407252,0.00657885,0.00657885
3,70.3311,1.71117,2.69735,2.094,0.00141,0.05333,0.00166,0.00051,3.64772,inf,6.77376,0.0107121,0.00989906,0.00989906
4,93.6231,1.64569,2.61119,2.03689,0.21342,0.12427,0.01597,0.00559,2.28688,27.4796,3.79779,0.0099703,0.0099703,0.0099703
5,116.157,1.67812,2.66104,2.0438,0.34382,0.04,0.01713,0.01188,1.70344,12.5237,3.24057,0.0099604,0.0099604,0.0099604
6,137.764,1.55078,2.53407,1.95516,0.5462,0.01333,0.03773,0.01627,1.97708,5.02857,3.38572,0.0099505,0.0099505,0.0099505
7,158.974,1.55694,2.5095,1.96399,0.00852,0.13333,0.01386,0.00271,3.09642,7.59788,4.43768,0.0099406,0.0099406,0.0099406
8,180.261,1.55439,2.44523,1.93733,0.00969,0.36,0.04178,0.02114,1.63968,5.35736,2.91286,0.0099307,0.0099307,0.0099307
9,201.895,1.52592,2.46292,1.90448,0.15425,0.14882,0.04416,0.01952,1.78509,5.72229,2.80661,0.0099208,0.0099208,0.0099208
10,224.372,1.48943,2.45006,1.90103,0.51764,0.10667,0.08634,0.04934,1.42984,4.42808,2.82793,0.0099109,0.0099109,0.0099109
11,245.851,1.52914,2.3637,1.9017,0.5769,0.0507,0.1108,0.06317,1.85522,4.73416,2.91053,0.009901,0.009901,0.009901
12,268.805,1.49953,2.38185,1.88905,0.15666,0.16,0.08587,0.05575,1.33865,4.47419,2.44195,0.0098911,0.0098911,0.0098911
13,290.306,1.48285,2.29579,1.8789,0.51654,0.0397,0.08945,0.0499,1.28229,4.72487,2.47646,0.0098812,0.0098812,0.0098812
14,312.032,1.47934,2.32254,1.88886,0.50917,0.08,0.0735,0.0435,1.63884,4.55486,2.74441,0.0098713,0.0098713,0.0098713
15,333.667,1.48157,2.34013,1.85894,0.53597,0.06667,0.10732,0.06847,1.34999,4.5521,2.39069,0.0098614,0.0098614,0.0098614
16,356.418,1.44167,2.28704,1.83162,0.17888,0.17224,0.053,0.02647,1.58065,5.42165,2.69061,0.0098515,0.0098515,0.0098515
17,379.394,1.44887,2.29333,1.84265,0.25885,0.20404,0.11164,0.07373,1.26662,4.33693,2.42943,0.0098416,0.0098416,0.0098416
