epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.756,1.26559,2.83305,1.83916,0.00437,0.91667,0.34737,0.17747,1.23567,3.46981,2.88185,0.0973,0.0003,0.0003
2,33.134,1.19409,2.2357,1.73581,0.0691,0.80556,0.22877,0.10132,1.49733,4.03814,3.83281,0.0936986,0.000698614,0.000698614
3,50.1514,1.3661,2.18092,1.87691,0.0038,0.97222,0.22203,0.11042,1.51774,3.29829,4.02856,0.0900956,0.00109564,0.00109564
4,67.3646,1.15414,1.95234,1.80163,0.00285,0.73208,0.00983,0.00181,3.39681,4.55526,7.38447,0.0864911,0.00149109,0.00149109
5,83.9772,1.77798,2.15738,2.20703,0.01734,0.06004,0.01263,0.00256,3.19039,3.58813,7.47875,0.082885,0.00188495,0.00188495
6,99.9332,1.59738,2.06228,2.07833,0.00238,0.71147,0.00738,0.00177,3.19833,3.415,6.31361,0.0792772,0.00227723,0.00227723
7,115.851,1.54944,1.95927,1.97517,0.00039,0.08781,0.00025,7e-05,4.48684,8.1634,12.158,0.0756679,0.00266792,0.00266792
8,131.521,1.38988,1.83104,1.86692,0,0,0,0,5.56579,794.218,34.6386,0.072057,0.00305703,0.00305703
9,147.012,1.48638,1.80581,1.95213,0,0,0,0,6.0826,1502.74,120.713,0.0684446,0.00344456,0.00344456
10,162.428,1.54835,1.71472,1.91955,0,0,0,0,6.05921,652.244,61.6385,0.0648305,0.0038305,0.0038305
11,177.776,1.5558,1.86994,2.0347,0.01634,0.07168,0.03022,0.00314,5.19035,37.8626,57.4858,0.0612149,0.00421486,0.00421486
12,193.12,1.45565,1.84048,1.92315,0,0,0,0,5.72063,8.22167,59.5412,0.0575976,0.00459763,0.00459763
13,208.522,1.7201,1.89644,2.17271,0.0044,0.08333,0.00251,0.00046,4.88506,37.7835,52.6228,0.0539788,0.00497882,0.00497882
14,223.963,1.58314,1.71075,1.95456,0.00385,0.01613,0.00101,0.0002,4.90625,691.683,45.557,0.0503584,0.00535843,0.00535843
15,239.595,1.48658,1.83945,1.94589,0.0002,0.07168,0.00011,3e-05,4.7698,2778.27,41.879,0.0467365,0.00573645,0.00573645
16,255.873,1.47426,1.6653,1.92222,0.00071,0.13889,0.00045,0.00013,3.72125,283.903,15.5426,0.0431129,0.00611289,0.00611289
17,272,1.53817,1.8291,1.98065,0.00345,0.02778,0.00086,0.00017,3.59116,87.0305,13.0701,0.0394877,0.00648774,0.00648774
18,288.173,1.56474,1.68354,2.00554,0,0,0,0,3.50534,833.835,14.1085,0.035861,0.00686101,0.00686101
19,304.25,1.56048,1.96623,2.0459,0,0,0,0,3.79503,2047.74,14.1337,0.0322327,0.0072327,0.0072327
20,320.364,1.40803,1.54993,1.85578,0,0,0,0,4.05988,1692.19,15.0259,0.0286028,0.0076028,0.0076028
21,336.594,1.4503,1.79329,1.93882,0,0,0,0,5.44793,491.831,29.0443,0.0249713,0.00797132,0.00797132
22,352.758,1.4063,1.68957,1.93699,0,0,0,0,6.65017,380.556,38.8713,0.0213383,0.00833825,0.00833825
23,368.954,1.48494,1.70228,1.96472,0,0,0,0,6.16303,122.349,16.7377,0.0177036,0.0087036,0.0087036
24,385.786,1.42974,1.58552,1.93501,0,0,0,0,6.05401,91.7999,12.0659,0.0140674,0.00906737,0.00906737
25,402.427,1.34501,1.56959,1.7847,0,0,0,0,6.3902,173.932,27.4578,0.0104296,0.00942955,0.00942955
26,419.468,1.43376,1.63617,1.89018,0,0,0,0,6.47786,210.42,13.0818,0.009505,0.009505,0.009505
27,436.187,1.52322,1.70862,1.94612,0,0,0,0,5.50418,1261.61,13.0126,0.0094852,0.0094852,0.0094852
28,453.125,1.4825,1.73647,1.9101,0,0,0,0,5.55217,8759.38,13.3001,0.0094654,0.0094654,0.0094654
29,469.19,1.4875,1.76585,1.95946,0,0,0,0,5.75756,11624,14.0222,0.0094456,0.0094456,0.0094456
30,485.346,1.52802,1.77914,1.93286,0,0,0,0,6.02943,7202.69,11.2697,0.0094258,0.0094258,0.0094258
31,501.365,1.45272,1.63711,1.8438,0,0,0,0,3.6673,487.592,4.97005,0.009406,0.009406,0.009406
32,517.297,1.48206,1.69853,1.93986,0,0,0,0,2.52374,138.483,4.20995,0.0093862,0.0093862,0.0093862
33,533.228,1.32569,1.51095,1.82281,0,0,0,0,3.11088,91.2819,4.78708,0.0093664,0.0093664,0.0093664
34,548.978,1.4541,1.54696,1.87792,0.00167,0.02778,0.00056,7e-05,4.63159,20.9782,7.26144,0.0093466,0.0093466,0.0093466
35,564.623,1.64603,1.55696,2.11968,0.00011,0.02778,6e-05,1e-05,5.34421,10.2587,8.24085,0.0093268,0.0093268,0.0093268
36,580.242,1.54973,1.65001,1.9977,0.0001,0.02778,5e-05,1e-05,4.99285,8.82298,7.50691,0.009307,0.009307,0.009307
37,595.965,1.551,1.60636,1.99658,0.00077,0.1828,0.00054,9e-05,4.27577,6.40969,6.14767,0.0092872,0.0092872,0.0092872
38,611.532,1.42948,1.49714,1.90949,0.52161,0.01613,0.00451,0.00084,3.63397,4.8782,5.54272,0.0092674,0.0092674,0.0092674
39,627.173,1.41584,1.89417,1.90956,0.0614,0.37186,0.04716,0.00801,3.05124,4.18956,4.65026,0.0092476,0.0092476,0.0092476
40,643.14,1.41465,1.50353,1.85556,0.14249,0.21237,0.10108,0.02622,2.58323,3.63576,4.15689,0.0092278,0.0092278,0.0092278
41,658.874,1.62404,1.79313,2.08333,0.11428,0.23566,0.11794,0.03663,2.27119,3.2683,3.84303,0.009208,0.009208,0.009208
42,674.595,1.37018,1.56434,1.82437,0.14286,0.61201,0.1601,0.05807,2.14806,3.84051,3.99827,0.0091882,0.0091882,0.0091882
43,690.252,1.3617,1.61619,1.85982,0.35302,0.31183,0.25755,0.11459,2.08443,3.82579,4.18621,0.0091684,0.0091684,0.0091684
44,706.015,1.30242,1.52399,1.82164,0.18167,0.30466,0.12643,0.05668,2.32465,4.29337,4.22988,0.0091486,0.0091486,0.0091486
45,721.58,1.40143,1.48204,1.94706,0.05275,0.25627,0.045,0.01584,2.74017,4.66066,4.66214,0.0091288,0.0091288,0.0091288
46,736.936,1.41587,1.46985,1.94473,0.06146,0.09677,0.03618,0.00886,2.92005,4.59049,4.7001,0.009109,0.009109,0.009109
47,752.523,1.26006,1.47185,1.73414,0.08604,0.17294,0.06696,0.0177,2.94086,3.75189,4.77925,0.0090892,0.0090892,0.0090892
48,768.173,1.34259,1.3878,1.7629,0.67012,0.1129,0.1053,0.03978,2.65031,3.84818,4.35198,0.0090694,0.0090694,0.0090694
49,784.598,1.44102,1.70308,2.00614,0.10146,0.5009,0.13126,0.05436,2.31071,2.78935,4.08797,0.0090496,0.0090496,0.0090496
50,801.827,1.34586,1.47358,1.84692,0.68754,0.33871,0.23068,0.09016,1.99806,2.12206,3.72596,0.0090298,0.0090298,0.0090298
51,818.17,1.32648,1.44311,1.80022,0.2609,0.56272,0.33955,0.13916,1.74031,1.89598,3.4671,0.00901,0.00901,0.00901
